Price,Catergory,Model,Brand,Name,1,2,3,4
2150000,PSU - Nguồn máy tính,,Coolermaster,Coolermaster G750M 80 Plus Bronze (RS750-AMAAB1-EU),750,,,
1180000,PSU - Nguồn máy tính,,Coolermaster,Coolermaster GX 450W (RS450-ACAAD3-EU),450,,,
1150000,PSU - Nguồn máy tính,,Coolermaster,Coolermaster GX-2 PRO 450W (RS450-ACAAB1-E1),450,,,
1590000,PSU - Nguồn máy tính,,Coolermaster,Coolermaster GX2 550W (RS550-ACAAB1-EU),550,,,
1940000,PSU - Nguồn máy tính,,Coolermaster,Coolermaster GX2 650W (RS650-ACAAB1-EU),650,,,
2290000,PSU - Nguồn máy tính,,Coolermaster,Coolermaster GX2 750W (RS750-ACAAB1-EU),750,,,
1550000,PSU - Nguồn máy tính,,Coolermaster,Coolermaster Silent Pro Gold 550W (RS-550-80GA-J3),550,,,
0,PSU - Nguồn máy tính,,Coolermaster,Coolermaster Silent Pro M2 1000W (RS-A00-SPM2),1000,,,
0,PSU - Nguồn máy tính,,Coolermaster,Coolermaster Silent Pro M2 720W (RS-720-SPM2),720,,,
0,PSU - Nguồn máy tính,,Coolermaster,Coolermaster Silent Pro M2 850W (RS-850-SPM2),850,,,
990000,PSU - Nguồn máy tính,,Coolermaster,Coolermaster Thunder 450W (RS-450-ACAB-M3),450,,,
1190000,PSU - Nguồn máy tính,,Coolermaster,Coolermaster Thunder 500W (RS-500-ACAB-M3),500,,,
1430000,PSU - Nguồn máy tính,,Coolermaster,Coolermaster Thunder 550W (RS-550-ACAB-D3),550,,,
0,PSU - Nguồn máy tính,,Coolermaster,Coolermaster Thunder 600W (RS-600-ACAB-D3),600,,,
