Price,Catergory,Brand,Name,1,2,3,4
280000,Case,Cooler Plus,cooler plus L203/L204/L206/2013,,,,
1890000,Case,Cougar,Cougar  Evolution,,,,
1190000,Case,Cougar,Cougar Pioneer,,,,
590000,Case,Cougar,Cougar Spike,,,,
290000,Case,GOLDEN FIELD,GOLDEN FIELD 1201B/ 1205B/ 1203B/ 1285B/ 1288b/ 1210/ 1211,,,,
290000,Case,GOLDEN FIELD,GOLDEN FIELD 1318B,,,,
290000,Case,GOLDEN FIELD,GOLDEN FIELD 2718B,,,,
290000,Case,GOLDEN FIELD,GOLDEN FIELD 2719,,,,
280000,Case,ORIENT,ORIENT 2101B,,,,
280000,Case,ORIENT,ORIENT 2103,,,,
280000,Case,ORIENT,ORIENT 2104B,,,,
280000,Case,ORIENT,ORIENT 2105,,,,
280000,Case,ORIENT,ORIENT 2109B,,,,
280000,Case,ORIENT,ORIENT 2116/2115,,,,
485000,Case,ORIENT,ORIENT 219/ 202/ 228B,,,,
375000,Case,ORIENT,ORIENT 303B/S,,,,
375000,Case,ORIENT,ORIENT 308/309B/S,,,,
305000,Case,ORIENT,ORIENT 318,,,,
280000,Case,ORIENT,ORIENT 5825A/ B,,,,
280000,Case,ORIENT,ORIENT 5826B,,,,
280000,Case,ORIENT,ORIENT 5830B,,,,
275000,Case,ORIENT,ORIENT 5832B,,,,
515000,Case,ORIENT,ORIENT 603B,,,,
515000,Case,ORIENT,ORIENT 604B,,,,
515000,Case,ORIENT,ORIENT 605B,,,,
610000,Case,ORIENT,ORIENT 701B,,,,
355000,Case,ORIENT,ORIENT 901B,,,,
355000,Case,ORIENT,ORIENT 902B,,,,
355000,Case,ORIENT,ORIENT 904B,,,,
355000,Case,ORIENT,ORIENT 905B,,,,
355000,Case,ORIENT,ORIENT 908B,,,,
365000,Case,ORIENT,ORIENT 911B,,,,
445000,Case,ORIENT,ORIENT MAGIC 1A,,,,
1580000,Case,ORIENT,ORIENT W1 GAMING,,,,
2300000,Case,Thermaltake,Thermaltake Armor A60 (VM20001W2Z),,,,
3950000,Case,Thermaltake,Thermaltake ARMOR REVO (VO200M1W2N),,,,
3600000,Case,Thermaltake,Thermaltake ARMOR REVO GENE Snow Edition (VO800M6W2N),,,,
2100000,Case,Thermaltake,Thermaltake Chaser A31 Snow Edition (VP300A6W2N),,,,
2100000,Case,Thermaltake,Thermaltake Chaser A31 Thunder Edition (VP300A5W2N),,,,
2800000,Case,Thermaltake,Thermaltake Chaser A41 (VP200A1W2N),,,,
2800000,Case,Thermaltake,Thermaltake Chaser A41 Snow Edition (VP200A6W2N),,,,
4150000,Case,Thermaltake,Thermaltake Chaser MK-I (VN300M1W2N),,,,
1050000,Case,Thermaltake,Thermaltake Commander GS-II (VN900K1W2N),,,,
1180000,Case,Thermaltake,Thermaltake Commander MS-I Black (VN400A1W2N),,,,
1200000,Case,Thermaltake,Thermaltake Commander MS-I Snow Edition (VN40006W2N),,,,
1020000,Case,Thermaltake,Thermaltake Commander MS-II (VN900A1W2N),,,,
1020000,Case,Thermaltake,Thermaltake Commander MS-III (VO100A1W2N),,,,
1020000,Case,Thermaltake,Thermaltake GS-III (VO100K1W2N),,,,
6900000,Case,Thermaltake,Thermaltake Level 10 GT BATTLE Edition (VN10008W2N),,,,
6490000,Case,Thermaltake,Thermaltake Level 10 GT BLACK (VN10001W2N),,,,
2650000,Case,Thermaltake,Thermaltake Level 10 GTS (VO30001N2N),,,,
2700000,Case,Thermaltake,Thermaltake Level 10 GTS SNOW Edition (VO30006N2N),,,,
2800000,Case,Thermaltake,Thermaltake Level 10 GTS SNOW Edition / Window,,,,
2990000,Case,Thermaltake,Thermaltake New Soprano Edition (VO900M1N2N),,,,
2990000,Case,Thermaltake,Thermaltake New Soprano Snow Edition (VO900M6N2N),,,,
3400000,Case,Thermaltake,Thermaltake Overseer RX-I Snow Editon (VN700M6W2N),,,,
1220000,Case,Thermaltake,Thermaltake Spacecraft VF-I (VN600A1W2N),,,,
2350000,Case,Thermaltake,Thermaltake TT Armor A60 AMD Edition (VM200P1W2Z),,,,
6900000,Case,Thermaltake,Thermaltake TT Level 10 GT SNOW Edition (VN10006W2N),,,,
1490000,Case,Thermaltake,Thermaltake Urban S21,,,,
1500000,Case,Thermaltake,Thermaltake V3 BlacX Edition (V1800M1W2Z),,,,
2300000,Case,Thermaltake,Thermaltake V9 USB 3.0 Window (VJ40001W2Z),,,,
1050000,Case,Thermaltake,Thermaltake Versa G1 (VO600A1W3N),,,,
2080000,Case,Thermaltake,caseThermaltake Armor A30 (VM70001W2Z),,,,
1420000,Case,Coolermaster,Coolermaster Centurion 5 II - Cửa sổ Mica,,,,
1950000,Case,Coolermaster,Coolermaster CM693,,,,
7600000,Case,Coolermaster,Coolermaster Cosmos II (RC-1200-KKN1) ULTRA TOWER,,,,
999000,Case,Coolermaster,Coolermaster Elite 330/ 331/ 335 (có cửa sổ MICA) (RC-330/RC-331/ RC-335),,,,
1022000,Case,Coolermaster,Coolermaster Elite 330U / 335U (có cửa sổ MICA)(RC-330U/RC-335U),,,,
907000,Case,Coolermaster,Coolermaster Elite 334 U ( RC-334U),,,,
1600000,Case,Coolermaster,Coolermaster Master box 5 black window,,,,
1630000,Case,Coolermaster,Coolermaster Master box 5 white window,,,,
2490000,Case,Coolermaster,Coolermaster Master5 Chassic ,,,,
3150000,Case,Coolermaster,Coolermaster MasterPro 5 Chassic ,,,,
3990000,Case,Coolermaster,Coolermaster Storm Trooper Window (SGC-5000-KWN1),,,,
1080000,Case,Corsair,Corsair Carbide Series SPEC-01 Mid Tower Gaming CC-9011050,,,,
1990000,Case,Corsair,Corsair Carbide Series 400R Mid-Tower Case,,,,
2400000,Case,Corsair,Corsair Carbide Series SPEC ALPHA Mid-Tower WHITE,,,,
3020000,Case,Corsair,Corsair Graphite Series 380T Portable Mini ITX Black,,,,
3360000,Case,Corsair,Corsair Graphite Series 380T Portable Mini ITX White,,,,
830000,Case,Cougar,Cougar 67M3 Solution,,,,
690000,Case,Cougar,Cougar Archon,,,,
1390000,Case,Cougar,Cougar Challenger 6HM6 Black,,,,
1390000,Case,Cougar,Cougar Challenger 6HM6 White,,,,
1930000,Case,Cougar,Cougar Evolution,,,,
1900000,Case,Cougar,Cougar Evolution,,,,
1190000,Case,Cougar,Cougar Pioneer,,,,
2290000,Case,Cougar,Fractal Design Arc Midi Tower,,,,
1590000,Case,Cougar,Fractal Design Core 3000,,,,
2590000,Case,Cougar,Fractal Design Define R3 Artic White,,,,
2290000,Case,Cougar,Fractal Design Define R3 Black Pearl,,,,
3899000,Case,Cougar,Fractal Design Define XL Black Pearl,,,,
290000,Case,GOLDEN FIELD,GOLDEN FIELD 1213,,,,
